ASN,numIPs,numMineCraftServers,percentage
AS198570,23808,7,0.0294
AS199468,7424,7,0.0943
AS199707,3328,7,0.2103
AS200303,7680,7,0.0911
AS20283,36608,7,0.0191
AS204094,1024,7,0.6836
AS204490,10753,7,0.0651
AS204601,48640,7,0.0144
AS205733,3072,7,0.2279
AS20686,86272,7,0.0081
AS207713,5632,7,0.1243
AS207995,33792,7,0.0207
AS20810,20224,7,0.0346
AS211309,21760,7,0.0322
AS213094,4352,7,0.1608
AS215881,256,7,2.7344
AS216154,5120,7,0.1367
AS216246,4352,7,0.1608
AS21769,314368,7,0.0022
AS24608,327680,7,0.0021
AS24751,50432,7,0.0139
AS25840,12032,7,0.0582
AS26832,10496,7,0.0667
AS268624,2560,7,0.2734
AS26919,20992,7,0.0333
AS272432,30464,7,0.0230
AS2840,14336,7,0.0488
AS29413,30208,7,0.0232
AS30247,14336,7,0.0488
AS31615,606208,7,0.0012
AS31655,575800,7,0.0012
AS31786,512,7,1.3672
AS32505,47360,7,0.0148
AS327782,199168,7,0.0035
AS35132,47104,7,0.0149
AS37002,166144,7,0.0042
AS39090,9728,7,0.0720
AS395092,24576,7,0.0285
AS395846,37120,7,0.0189
AS398025,90112,7,0.0078
AS39912,50176,7,0.0140
AS400662,31744,7,0.0221
AS40156,10240,7,0.0684
AS41843,120064,7,0.0058
AS42422,3840,7,0.1823
AS43529,43008,7,0.0163
AS43708,24064,7,0.0291
AS43915,35584,7,0.0197
